"Crop","Kc_ini","Kc_mid","Kc_end"
"Cantaloupe",0.5,0.85,0.6
"Cucumber_Fresh_market",0.6,1,0.75
"Cucumber_Machine_harvest",0.5,1,0.9
"Pumpkin_&_Winter_Squash",0.5,1,0.8
"Squash_&_Zucchini",0.5,0.95,0.75
"Sweet_Melons",0.5,1.05,0.75
"Watermelon",0.4,1,0.75
