"Crop","Kc_ini","Kc_mid","Kc_end"
"Berries_bushes",0.3,1.05,0.5
"Grapes_Table_or_Raisin",0.3,0.85,0.45
"Grapes_Wine",0.3,0.7,0.45
"Hops",0.3,1.05,0.85
