"Crop","Kc_ini","Kc_mid","Kc_end"
"Cattails_Bulrushes_killing_frost",0.3,1.2,0.3
"Cattails_Bulrushes_no_frost",0.6,1.2,0.6
"Short_Veg_no_frost",1.05,1.1,1.1
"Reed_Swamp_standing_water",1,1.2,1
"Reed_Swamp_moist_soil",0.9,1.2,0.7
